term,M1_TWFE,M1p_IFE,M2_SOE,M2_NonSOE,M3_Interaction
NPR,"-0.6250***
(0.0558)","-0.4048***
(0.0087)","-0.8580***
(0.0643)","-0.5097***
(0.0437)","-0.5835***
(0.0569)"
NPR × SOE,—,—,—,—,"-0.1972***
(0.0532)"
m2_growth,—,"0.0019***
(0.0002)",—,—,—
Size,"0.0788***
(0.0044)","0.0849***
(0.0007)","0.0746***
(0.0069)","0.0725***
(0.0056)","0.0792***
(0.0044)"
Tang,"0.1085***
(0.0179)","0.1184***
(0.0061)","0.0569**
(0.0282)","0.1448***
(0.0233)","0.1077***
(0.0177)"
Growth,"0.0238**
(0.0099)","0.0149***
(0.0019)","0.0225**
(0.0097)","0.0297***
(0.0105)","0.0235**
(0.0098)"
NDTS,"0.0399
(0.2042)","-0.1539***
(0.0566)","-1.3173***
(0.2586)","0.5223**
(0.2480)","0.0854
(0.2012)"
公司FE,✓,✓,✓,✓,✓
年度FE,✓,交互FE,✓,✓,✓
聚类标准误,双向,Robust,双向,双向,双向
N,"40,846","40,846","13,293","27,553","40,846"
公司数,"4,775","4,775","1,289","3,775","4,775"
Within R²,0.1864,0.4656,0.0576,0.2467,0.1865
