year,coef,se,p_value,ci_low,ci_high
2010,-0.6521952745569685,0.06463210805290695,0.0,-0.7788742063406661,-0.5255163427732709
2011,-0.6506226466194417,0.05882441156942315,0.0,-0.7659184932955111,-0.5353267999433723
2012,-0.7590856132552295,0.053881590811479196,0.0,-0.8646935312457287,-0.6534776952647303
2013,-0.7780017039230496,0.053833536695621055,0.0,-0.8835154358464669,-0.6724879719996323
2014,-0.6625026008685981,0.053093333192519174,0.0,-0.7665655339259357,-0.5584396678112605
2015,-0.5753185332715622,0.048501796135402696,0.0,-0.6703820536969515,-0.48025501284617295
2016,-0.4901882287216601,0.062496918677249116,4.440892098500626e-15,-0.6126821893290684,-0.3676942681142519
2017,-0.5025652319422941,0.0868021964463968,7.106443211668534e-09,-0.6726975369772318,-0.3324329269073564
2018,-0.39028935816857324,0.054265011011853256,6.494804694057166e-13,-0.4966487797518056,-0.2839299365853409
2019,-0.4328199361089573,0.05588997470393884,9.769962616701378e-15,-0.5423642865286774,-0.3232755856892372
2020,-0.45870589612053936,0.07227164106509082,2.2220492112978718e-10,-0.6003583126081173,-0.3170534796329614
2021,-0.623469219341141,0.07691910968644394,4.440892098500626e-16,-0.7742306743265711,-0.4727077643557108
2022,-0.6631634118580041,0.07402528655756464,0.0,-0.8082529735108308,-0.5180738502051774
2023,-0.881249203550332,0.06687520827971881,0.0,-1.012324611778581,-0.7501737953220831
2024,-0.9688367666661154,0.04437470554600066,0.0,-1.0558111895362767,-0.8818623437959541
2025,-0.9022578154119815,0.04439617240966496,0.0,-0.9892743133349248,-0.8152413174890382
